real_estate_sold,reward_per_nft,contract_value,remaining_supply,rmc,avidity,real_estate_per_month,date
16460,3.274224564993479e-08,0.00013096898259973917,6812.0500624091965,8.0108642578125e-12,0.6000000000000001,33,2103-04
16461,3.274224502042995e-08,0.0001309689800817198,6812.049931440217,8.0108642578125e-12,0.6000000000000001,33,2103-04
16462,3.2742244390925115e-08,0.00013096897756370045,6812.049800471239,8.0108642578125e-12,0.6000000000000001,33,2103-04
16463,3.2742243761420294e-08,0.00013096897504568118,6812.049669502264,8.0108642578125e-12,0.6000000000000001,33,2103-04
16464,3.2742243131915486e-08,0.00013096897252766194,6812.0495385332915,8.0108642578125e-12,0.6000000000000001,33,2103-04
16465,3.274224250241069e-08,0.00013096897000964276,6812.049407564322,8.0108642578125e-12,0.6000000000000001,33,2103-04
16466,3.274224187290591e-08,0.00013096896749162365,6812.049276595354,8.0108642578125e-12,0.6000000000000001,33,2103-04
16467,3.2742241243401135e-08,0.00013096896497360455,6812.049145626389,8.0108642578125e-12,0.6000000000000001,33,2103-04
16468,3.274224061389637e-08,0.0001309689624555855,6812.049014657427,8.0108642578125e-12,0.6000000000000001,33,2103-04
16469,3.2742239984391625e-08,0.0001309689599375665,6812.048883688467,8.0108642578125e-12,0.6000000000000001,33,2103-04
16470,3.274223935488689e-08,0.00013096895741954756,6812.048752719509,8.0108642578125e-12,0.6000000000000001,33,2103-04
16471,3.274223872538217e-08,0.00013096895490152867,6812.048621750554,8.0108642578125e-12,0.6000000000000001,33,2103-04
16472,3.274223809587745e-08,0.0001309689523835098,6812.048490781602,8.0108642578125e-12,0.6000000000000001,33,2103-04
16473,3.274223746637275e-08,0.000130968949865491,6812.048359812652,8.0108642578125e-12,0.6000000000000001,33,2103-04
16474,3.274223683686806e-08,0.00013096894734747225,6812.048228843705,8.0108642578125e-12,0.6000000000000001,33,2103-04
16475,3.274223620736339e-08,0.00013096894482945358,6812.04809787476,8.0108642578125e-12,0.6000000000000001,33,2103-04
16476,3.274223557785872e-08,0.00013096894231143488,6812.047966905818,8.0108642578125e-12,0.6000000000000001,33,2103-04
16477,3.2742234948354074e-08,0.0001309689397934163,6812.047835936878,8.0108642578125e-12,0.6000000000000001,33,2103-04
16478,3.819927337199101e-08,0.00015279709348796404,6812.047683139785,8.0108642578125e-12,0.7000000000000001,33,2103-05
16479,3.8199272515165264e-08,0.00015279709006066106,6812.047530342695,8.0108642578125e-12,0.7000000000000001,33,2103-05
16480,3.8199271658339544e-08,0.00015279708663335818,6812.0473775456085,8.0108642578125e-12,0.7000000000000001,33,2103-05
16481,3.8199270801513844e-08,0.00015279708320605536,6812.047224748525,8.0108642578125e-12,0.7000000000000001,33,2103-05
16482,3.8199269944688156e-08,0.00015279707977875262,6812.047071951445,8.0108642578125e-12,0.7000000000000001,33,2103-05
16483,3.819926908786249e-08,0.00015279707635144996,6812.046919154369,8.0108642578125e-12,0.7000000000000001,33,2103-05
16484,3.819926823103684e-08,0.00015279707292414736,6812.046766357296,8.0108642578125e-12,0.7000000000000001,33,2103-05
16485,3.819926737421122e-08,0.0001527970694968449,6812.046613560226,8.0108642578125e-12,0.7000000000000001,33,2103-05
16486,3.819926651738561e-08,0.00015279706606954242,6812.04646076316,8.0108642578125e-12,0.7000000000000001,33,2103-05
16487,3.819926566056002e-08,0.00015279706264224006,6812.046307966098,8.0108642578125e-12,0.7000000000000001,33,2103-05
16488,3.819926480373445e-08,0.0001527970592149378,6812.046155169039,8.0108642578125e-12,0.7000000000000001,33,2103-05
16489,3.81992639469089e-08,0.00015279705578763561,6812.0460023719825,8.0108642578125e-12,0.7000000000000001,33,2103-05
16490,3.819926309008337e-08,0.00015279705236033347,6812.04584957493,8.0108642578125e-12,0.7000000000000001,33,2103-05
16491,3.819926223325785e-08,0.0001527970489330314,6812.045696777881,8.0108642578125e-12,0.7000000000000001,33,2103-05
16492,3.8199261376432364e-08,0.00015279704550572945,6812.045543980836,8.0108642578125e-12,0.7000000000000001,33,2103-05
16493,3.819926051960689e-08,0.00015279704207842756,6812.045391183794,8.0108642578125e-12,0.7000000000000001,33,2103-05
16494,3.8199259662781434e-08,0.00015279703865112574,6812.045238386755,8.0108642578125e-12,0.7000000000000001,33,2103-05
16495,3.8199258805956005e-08,0.00015279703522382403,6812.04508558972,8.0108642578125e-12,0.7000000000000001,33,2103-05
16496,3.819925794913058e-08,0.00015279703179652232,6812.044932792688,8.0108642578125e-12,0.7000000000000001,33,2103-05
16497,3.819925709230519e-08,0.00015279702836922077,6812.04477999566,8.0108642578125e-12,0.7000000000000001,33,2103-05
